,cb2020,borocode,boroname,ct2020,bctcb2020,geoid,shape_leng,shape_area,geometry,land_cvr_0,land_cvr_1,land_cvr_2,land_cvr_3,land_cvr_4,land_cvr_5,land_cvr_6,land_cvr_7,land_cvr_8,land_cvr_1_rb,land_cvr_2_rb,land_cvr_3_rb,land_cvr_4_rb,land_cvr_5_rb,land_cvr_6_rb,land_cvr_7_rb,land_cvr_8_rb,elev_mean,elev_min,elev_max,elev_q1,elev_q3,ntaname,elev_mean_ct,elev_min_ct,elev_max_ct,elev_q1_ct,elev_q3_ct,catch_basin_count,catch_basin_density,sub_entr_count,rw_length,rw_avg_elev,lake_res_ind,pond_ind,river_ind,stream_ind,wl_marsh_ind,beach_shore_ind,bay_ocean_ind
1050,1003,1,Manhattan,006200,10062001003,360610062001003,4286.65422927,252060.049061,"POLYGON ((991196.1834106445 207801.59899902344, 991165.9047851562 207819.03021240234, 991074.5170288086 207871.63818359375, 990456.7854003906 208213.28802490234, 990582.8316040039 208440.54119873047, 991109.0673828125 208156.28979492188, 991249.1722412109 208075.69702148438, 991267.1704882282 208072.93773682023, 991285.3775649917 208072.70772969117, 991303.4397723837 208075.0114683224, 991321.0062255859 208079.80419921875, 991337.7356222394 208086.99274668065, 991353.303026865 208096.437525144, 991367.4060198404 208107.9550559617, 991379.7706298828 208121.32159423828, 991389.4188090825 208137.14432570353, 991398.0345877076 208153.55208458693, 991405.5826416016 208170.47760009766, 991412.0320220693 208187.85139226503, 991417.3562947214 208205.6023157176, 991421.5336303711 208223.65759277344, 991581.0744018555 208528.6416015625, 991629.3060302734 208671.20678710938, 991645.8464355469 208755.07342529297, 991676.3518066406 208974.8989868164, 991695.1018066406 209005.80139160156, 991700.3102416992 208970.03759765625, 991679.6633911133 208787.58459472656, 991661.56640625 208700.81982421875, 991637.3209838867 208615.2260131836, 991607.0684204102 208531.45001220703, 991571.0317993164 208450.11499023438, 991529.5194091797 208371.80438232422, 991473.2958374023 208269.04559326172, 991441.8654174805 208211.0438232422, 991226.5441894531 207835.69659423828, 991196.1834106445 207801.59899902344))",0.831823,0.029141,0.002104,0.0,0.0,0.064409,0.032685,0.039839,0.0,0.173276,0.012511,0.0,0.0,0.382983,0.194349,0.236887,0.0,1.5,0,30,0,0,Murray Hill-Kips Bay,1.2,0,33,0,0,4.0,1.5869234394348535e-05,,,,0,0,0,0,0,0,0
1051,1004,1,Manhattan,006200,10062001004,360610062001004,2521.27285163,397679.8983,"POLYGON ((991074.5170288086 207871.63818359375, 990816.1154174805 207402.62658691406, 990800.357421875 207374.02459716797, 990589.5180053711 207493.76818847656, 990347.3502197266 207631.30279541016, 990253.0916137695 207684.83758544922, 990196.891784668 207745.37139892578, 990332.2579956055 207988.15698242188, 990456.7854003906 208213.28802490234, 991074.5170288086 207871.63818359375))",0.460773,0.031547,0.007974,0.0,0.0,0.235285,0.098929,0.165492,0.0,0.058504,0.014788,0.0,0.0,0.436338,0.183464,0.306906,0.0,3.8,0,21,0,6,Murray Hill-Kips Bay,1.2,0,33,0,0,9.0,2.263126710319821e-05,,,,0,0,0,0,0,0,0
1052,1005,1,Manhattan,006200,10062001005,360610062001005,1729.31758049,138765.014297,"POLYGON ((991196.1834106445 207801.59899902344, 991201.0490112305 207774.78802490234, 991184.577920687 207731.36533349485, 991170.371178567 207687.15000322252, 991158.4666959398 207642.26002387147, 991148.8962402344 207596.81518554688, 991141.6853608042 207550.93669402695, 991136.8532931053 207504.74704271794, 991134.4129316388 207458.36948993415, 991134.3707885742 207411.92779541016, 991138.2580882948 207356.88680567418, 991143.4844360352 207301.95678710938, 991150.0465841915 207247.17007414298, 991157.9407958984 207192.55938720703, 991117.3157958984 207208.4451904297, 990931.4038085938 207303.09619140625, 990800.357421875 207374.02459716797, 990816.1154174805 207402.62658691406, 991074.5170288086 207871.63818359375, 991165.9047851562 207819.03021240234, 991196.1834106445 207801.59899902344))",0.490994,0.060035,0.011618,0.0,0.0,0.069245,0.107729,0.260378,0.0,0.117946,0.022825,0.0,0.0,0.13604,0.211646,0.511542,0.0,3.3,0,13,0,6,Murray Hill-Kips Bay,1.2,0,33,0,0,4.0,2.882570956566015e-05,,,,0,0,0,0,0,0,0
1053,2000,1,Manhattan,006200,10062002000,360610062002000,7969.15729713,637783.646213,"POLYGON ((992097.7399902493 209992.67401123047, 992039.6766357571 209872.55560302734, 992074.6741943359 209853.5673828125, 992080.7760010064 209850.25701905787, 992071.244995147 209832.88702392578, 992020.1390380859 209731.58978272974, 991995.3336181939 209567.5714111328, 991989.7382202595 209531.5562133938, 991980.8505859673 209471.1821899414, 991966.7462158054 209385.7001953274, 991954.1904297024 209296.82879638672, 991929.814392075 209148.75842286646, 991928.7803954929 209142.47918701172, 991950.1453857571 209139.0701904297, 991954.8989868015 209138.31219482422, 991958.4982300103 209137.11138917506, 991962.4352416992 209132.31799316406, 991963.4653930813 209125.9796142578, 991963.2651977539 209124.6835937649, 991949.5054321736 209035.1987915188, 991946.7626342922 209031.60321046412, 991944.0231933445 209030.40258790553, 991943.8526001126 209027.4921875, 991954.7283935696 209026.46221923828, 991949.0756225735 208991.86560058594, 991935.0303955078 208994.0903930664, 991934.3447875828 208992.20678710938, 991938.970642075 208989.12298585474, 991940.3420410454 208985.8685913235, 991926.1229858696 208892.51879882812, 991923.2128295898 208886.52459718287, 991917.3630371392 208883.75219726562, 991887.5795898438 208887.6928100735, 991827.1074219048 208596.57458496094, 991827.7078246921 208580.3671875, 991829.0200195462 208536.64678956568, 991830.7687988132 208521.78118897974, 991830.5491943657 208500.36059570312, 991830.1127929688 208459.26501464844, 991834.0496215969 208438.7172241211, 991834.4860229492 208420.7905883938, 991835.358642593 208409.4224243313, 991835.7982178032 208393.68438722193, 991835.358642593 208367.4542236477, 991837.3273925781 208340.78442384303, 991837.7637939751 208319.79998780787, 991835.4866333008 208296.96221925318, 991832.3533935845 208295.11181640625, 991832.4979858398 208289.41961669922, 991835.3422241211 208285.15100099146, 991836.3395995945 208239.75439453125, 991834.062988311 208235.76818849146, 991833.918396011 208232.63800048828, 991836.8909912258 208230.17419435084, 991837.7637939751 208167.2218017578, 991839.0759887844 208161.97241212428, 991841.4805908352 208128.7471923977, 991837.9833984673 208120.0037841946, 991839.7319946289 208113.88201905787, 991841.9169921875 208086.3394165039, 991839.2955932766 208077.5958251953, 991841.4805908352 208029.50518798828, 991845.9697875977 207702.83862306178, 991848.0391845852 207693.74182130396, 991848.9119873345 207674.06982423365, 991850.1749878228 207657.97399903834, 991855.4703979939 207590.56579591334, 991853.5015869439 207584.88018798828, 991873.9150390625 207350.76678466797, 991868.3115845025 207344.88079833984, 991768.7609863281 207338.92279052734, 991340.6713867188 207573.25299073756, 991327.9661865532 207529.39318849146, 991326.1052246094 207523.72259521484, 991315.7941894531 207445.80059815943, 991315.4852294922 207437.67321777344, 991312.8085937351 207383.8671875, 991314.6641846001 207348.2896118164, 991320.0317993611 207376.97662353516, 991330.4979858398 207374.5932006836, 991327.2994384915 207360.75299072266, 991386.1959838718 207348.39678955078, 991387.172790572 207342.1771850586, 991383.7485961914 207337.13299560547, 991325.066040054 207348.63018798828, 991325.284790054 207344.98559570312, 991323.0303955078 207344.982421875, 991324.7562256008 207322.890625, 991326.4733886719 207300.90838623047, 991346.7421874851 207301.150390625, 991346.8483887017 207302.75842286646, 991382.3478393704 207302.59619142115, 991382.0732421875 207304.2001953274, 991402.140197739 207305.75439454615, 991402.9119873196 207298.3901977539, 991411.8041992486 207297.63818360865, 991414.9368286282 207302.65942384303, 991429.7073974758 207291.4072265625, 991430.4827880859 207292.8389892578, 991616.5756225586 207192.00518800318, 991611.0021972954 207182.34161378443, 991654.9396362305 207157.6342163086, 991649.7750244439 207146.33459472656, 991643.4266357422 207131.6005859524, 991644.9490356445 207129.56939698756, 991649.7750244439 207122.45678710938, 991655.3656005859 207111.78759767115, 991657.1437988728 207101.37078858912, 991655.8743896931 207086.89239503443, 991650.5394287258 207072.92279054224, 991641.392639175 207061.9976196289, 991630.4706421196 207054.1235961914, 991616.7534179837 207047.5189819336, 991605.3229980767 207046.50219726562, 991587.7936401665 207049.04138183594, 991581.6943969727 207037.73278810084, 991333.3630371243 207173.35260009766, 991269.2587890923 207203.03839111328, 991247.8959960938 207212.82739257812, 991226.5114135891 207196.96759034693, 991207.0397949517 207325.76678468287, 991203.1879882962 207414.0802002102, 991232.5728149563 207410.08959960938, 991236.2817993015 207437.9053955227, 991263.4602050781 207619.8505859524, 991305.3270263672 207739.55499267578, 991321.8066406548 207780.22760009766, 991358.3616333157 207835.50958251953, 991358.4370117337 207835.64099122584, 991420.1510010213 207951.1680908352, 991433.1712036133 207974.9451904297, 991456.1666259766 208016.93981935084, 991533.774597168 208158.67498780787, 991571.540222168 208219.9053955078, 991656.9700317532 208392.37860107422, 991708.6300048679 208504.1171875, 991719.5158081055 208527.6641845852, 991759.7092285454 208640.72778320312, 991760.6475830376 208643.6807861328, 991789.5253906399 208769.0151977688, 991808.6625976712 208799.0281982571, 991828.7872314453 208949.74639892578, 991913.1046142727 209466.5101928711, 991896.7496338189 209552.3237915039, 991938.4885864407 209789.76098632812, 991950.6812134087 209849.02862548828, 991979.1098022759 209932.98419190943, 992001.7689819336 209999.9017944485, 992011.9392089993 210032.1517944485, 992031.9520263821 210022.86682130396, 992097.7399902493 209992.67401123047))",0.762065,0.002408,0.000914,0.0,0.003179,0.111083,0.038755,0.081596,0.0,0.01012,0.003841,0.0,0.013361,0.466863,0.162881,0.342934,0.0,1.4,0,14,0,0,Murray Hill-Kips Bay,1.2,0,33,0,0,10.0,1.5679298237541054e-05,,,,0,0,1,0,0,0,0
1054,2001,1,Manhattan,006200,10062002001,360610062002001,4582.12052707,81586.1035812,"POLYGON ((991203.1879882962 207414.0802002102, 991204.1282348931 207427.7426147461, 991209.0115966946 207498.70599366724, 991215.6650390476 207556.08758544922, 991226.8298340142 207604.8671875149, 991236.937988311 207649.03381347656, 991273.2501831353 207756.6024170071, 991292.4890136719 207798.02319337428, 991321.2062378228 207854.7319946438, 991370.3381958008 207942.29278565943, 991398.8914184719 207993.17938232422, 991422.6560058743 208035.60778810084, 991501.4517822266 208175.15802003443, 991532.485229522 208237.33959960938, 991626.3829955906 208425.49438478053, 991680.1359863728 208533.2052002102, 991738.931640625 208724.73699951172, 991752.2125854641 208778.20819091797, 991793.4050293267 208944.05139160156, 991798.0260010064 208962.65618896484, 991812.8771972954 209039.31481935084, 991820.4736328423 209078.525390625, 991833.7084350735 209146.81622314453, 991836.9072265923 209169.25701904297, 991845.3356323689 209228.40399169922, 991875.0964355618 209415.90362550318, 991883.8986206353 209471.35919189453, 991896.7496338189 209552.3237915039, 991913.1046142727 209466.5101928711, 991828.7872314453 208949.74639892578, 991808.6625976712 208799.0281982571, 991789.5253906399 208769.0151977688, 991760.6475830376 208643.6807861328, 991759.7092285454 208640.72778320312, 991719.5158081055 208527.6641845852, 991708.6300048679 208504.1171875, 991656.9700317532 208392.37860107422, 991571.540222168 208219.9053955078, 991533.774597168 208158.67498780787, 991456.1666259766 208016.93981935084, 991433.1712036133 207974.9451904297, 991420.1510010213 207951.1680908352, 991358.4370117337 207835.64099122584, 991358.3616333157 207835.50958251953, 991321.8066406548 207780.22760009766, 991305.3270263672 207739.55499267578, 991263.4602050781 207619.8505859524, 991236.2817993015 207437.9053955227, 991232.5728149563 207410.08959960938, 991203.1879882962 207414.0802002102))",0.946413,0.0,0.0,0.0,0.0,0.0,0.046734,0.006854,0.0,0.0,0.0,0.0,0.0,0.0,0.872115,0.127904,0.0,0.4,0,12,0,0,Murray Hill-Kips Bay,1.2,0,33,0,0,2.0,2.451397863374447e-05,,,,0,0,0,0,0,0,0
1055,2002,1,Manhattan,006200,10062002002,360610062002002,1034.37574446,13337.5196638,"POLYGON ((992011.9392089844 210032.1517944336, 992001.7689819336 209999.9017944336, 991979.1098022461 209932.98419189453, 991950.6812133789 209849.02862548828, 991938.4885864258 209789.76098632812, 991896.7496337891 209552.3237915039, 991866.9465942383 209587.51739501953, 991911.0759887695 209791.14099121094, 991926.0518188477 209851.77099609375, 991978.6722412109 210004.9760131836, 991991.7493896484 210041.3026123047, 992011.9392089844 210032.1517944336))",0.812724,0.0,0.0,0.0,0.0,0.0,0.187276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2,0,8,0,0,Murray Hill-Kips Bay,1.2,0,33,0,0,,,,,,0,0,0,0,0,0,0
1056,2003,1,Manhattan,006200,10062002003,360610062002003,6069.5330535,130463.864546,"POLYGON ((991991.7493896484 210041.3026123047, 991978.6722412109 210004.9760131836, 991926.0518188477 209851.77099609375, 991911.0759887695 209791.14099121094, 991866.9465942383 209587.51739501953, 991896.7496337891 209552.3237915039, 991883.8986206055 209471.35919189453, 991875.0964355469 209415.90362548828, 991845.3356323242 209228.40399169922, 991836.9072265625 209169.25701904297, 991833.7084350586 209146.81622314453, 991820.4736328125 209078.525390625, 991812.8771972656 209039.31481933594, 991798.0260009766 208962.65618896484, 991793.4050292969 208944.05139160156, 991752.2125854492 208778.20819091797, 991738.931640625 208724.73699951172, 991680.1359863281 208533.2052001953, 991626.3829956055 208425.49438476562, 991532.4852294922 208237.33959960938, 991501.4517822266 208175.15802001953, 991422.6560058594 208035.60778808594, 991398.891418457 207993.17938232422, 991370.3381958008 207942.29278564453, 991321.206237793 207854.7319946289, 991292.4890136719 207798.02319335938, 991273.2501831055 207756.6024169922, 991236.9379882812 207649.03381347656, 991226.8298339844 207604.8671875, 991215.6650390625 207556.08758544922, 991209.0115966797 207498.70599365234, 991204.1282348633 207427.7426147461, 991203.1879882812 207414.0802001953, 991207.0397949219 207325.76678466797, 991226.5114135742 207196.96759033203, 991207.9813842773 207194.6024169922, 991189.4478149414 207192.23681640625, 991167.8666381836 207312.54821777344, 991163.3851928711 207413.82299804688, 991163.7192382812 207448.4169921875, 991167.1284179688 207499.90002441406, 991177.4072265625 207572.9053955078, 991189.6972045898 207630.39862060547, 991200.1732177734 207667.06298828125, 991205.848815918 207686.9271850586, 991239.6184082031 207772.88861083984, 991240.5568237305 207775.2767944336, 991260.3926391602 207815.2703857422, 991289.956237793 207870.73638916016, 991366.6326293945 208014.58758544922, 991389.2540283203 208054.24938964844, 991446.3232421875 208154.92999267578, 991469.6278076172 208196.0438232422, 991501.7504272461 208252.716796875, 991640.5330200195 208534.92138671875, 991672.3994140625 208650.3685913086, 991696.7269897461 208738.50341796875, 991705.5 208790.69482421875, 991738.2197875977 208985.3135986328, 991751.9631958008 209083.99481201172, 991765.7031860352 209182.6724243164, 991766.8685913086 209189.42419433594, 991818.4689941406 209488.3837890625, 991837.1401977539 209596.54962158203, 991868.75 209727.0317993164, 991885.0764160156 209794.42639160156, 991901.5411987305 209854.93280029297, 991963.0028076172 210010.85620117188, 991978.6340332031 210047.65979003906, 991991.7493896484 210041.3026123047))",0.944897,0.001797,1e-06,0.0,0.0,0.0,0.047241,0.006064,0.0,0.032612,1.8e-05,0.0,0.0,0.0,0.857322,0.110048,0.0,0.5,0,27,0,0,Murray Hill-Kips Bay,1.2,0,33,0,0,3.0,2.299487302817276e-05,,,,0,0,0,0,0,0,0
1057,2004,1,Manhattan,006200,10062002004,360610062002004,4920.29155906,90478.1860161,"POLYGON ((991978.6340332031 210047.65979003906, 991963.0028076172 210010.85620117188, 991901.5411987305 209854.93280029297, 991885.0764160156 209794.42639160156, 991868.75 209727.0317993164, 991837.1401977539 209596.54962158203, 991818.4689941406 209488.3837890625, 991766.8685913086 209189.42419433594, 991765.7031860352 209182.6724243164, 991751.9631958008 209083.99481201172, 991738.2197875977 208985.3135986328, 991705.5 208790.69482421875, 991696.7269897461 208738.50341796875, 991672.3994140625 208650.3685913086, 991640.5330200195 208534.92138671875, 991501.7504272461 208252.716796875, 991469.6278076172 208196.0438232422, 991446.3232421875 208154.92999267578, 991389.2540283203 208054.24938964844, 991366.6326293945 208014.58758544922, 991289.956237793 207870.73638916016, 991260.3926391602 207815.2703857422, 991240.5568237305 207775.2767944336, 991196.1834106445 207801.59899902344, 991226.5441894531 207835.69659423828, 991441.8654174805 208211.0438232422, 991473.2958374023 208269.04559326172, 991529.5194091797 208371.80438232422, 991571.0317993164 208450.11499023438, 991607.0684204102 208531.45001220703, 991637.3209838867 208615.2260131836, 991661.56640625 208700.81982421875, 991679.6633911133 208787.58459472656, 991700.3102416992 208970.03759765625, 991695.1018066406 209005.80139160156, 991701.056640625 209037.9718017578, 991772.2846069336 209503.30499267578, 991787.0178222656 209599.8192138672, 991807.5557861328 209695.625, 991833.841796875 209790.20001220703, 991857.9813842773 209860.47979736328, 991865.6633911133 209883.24182128906, 991902.7186279297 209974.72302246094, 991945.0140380859 210063.5106201172, 991978.6340332031 210047.65979003906))",0.94952,0.000952,0.000517,0.0,0.0,0.0,0.0457,0.003311,0.0,0.018859,0.010242,0.0,0.0,0.0,0.905309,0.06559,0.0,0.4,0,18,0,0,Murray Hill-Kips Bay,1.2,0,33,0,0,2.0,2.210477561568391e-05,,,,0,0,0,0,0,0,0
1058,2005,1,Manhattan,006200,10062002005,360610062002005,1298.67165081,19031.6725353,"POLYGON ((991240.5568237305 207775.2767944336, 991239.6184082031 207772.88861083984, 991205.848815918 207686.9271850586, 991200.1732177734 207667.06298828125, 991189.6972045898 207630.39862060547, 991177.4072265625 207572.9053955078, 991167.1284179688 207499.90002441406, 991163.7192382812 207448.4169921875, 991163.3851928711 207413.82299804688, 991167.8666381836 207312.54821777344, 991189.4478149414 207192.23681640625, 991157.9407958984 207192.55938720703, 991150.0465841915 207247.17007414298, 991143.4844360352 207301.95678710938, 991138.2580882948 207356.88680567418, 991134.3707885742 207411.92779541016, 991134.4129316388 207458.36948993415, 991136.8532931053 207504.74704271794, 991141.6853608042 207550.93669402695, 991148.8962402344 207596.81518554688, 991158.4666959398 207642.2600238715, 991170.371178567 207687.15000322254, 991184.577920687 207731.36533349488, 991201.0490112305 207774.78802490234, 991196.1834106445 207801.59899902344, 991240.5568237305 207775.2767944336))",0.709978,0.0,0.0,0.0,0.0,0.0,0.272438,0.017585,0.0,0.0,0.0,0.0,0.0,0.0,0.93937,0.060633,0.0,2.3,0,11,0,7,Murray Hill-Kips Bay,1.2,0,33,0,0,1.0,5.25439894021504e-05,,,,0,0,0,0,0,0,0
1059,0001,1,Manhattan,006200,10062000001,360610062000001,3602.08277148,31109.7642933,"MULTIPOLYGON (((994980.20703125 205295.57501220703, 994980.7460327148 205259.857421875, 994964.3317871094 205260.81658935547, 994946.9042358398 205259.8524169922, 994947.7290039062 205278.05981445312, 994868.7478027344 205267.4022216797, 994806.799987793 205223.91479492188, 994813.5708007812 205220.2689819336, 994793.258605957 205186.41479492188, 994775.0292358398 205195.78979492188, 994788.049987793 205217.1439819336, 994722.424987793 205207.24841308594, 994665.6542358398 205165.06079101562, 994647.424987793 205132.24841308594, 994629.716796875 205144.2274169922, 994649.508605957 205178.0816040039, 994656.799987793 205174.9566040039, 994707.841796875 205212.4566040039, 994712.008605957 205232.24841308594, 994727.9891967773 205228.7601928711, 994726.0708007812 205220.78979492188, 994797.424987793 205232.7689819336, 994863.049987793 205281.7274169922, 994961.283203125 205292.97821044922, 994980.20703125 205295.57501220703)), ((994789.8858032227 205812.13159179688, 994789.8858032227 205803.10382080078, 994861.2532348633 205808.1558227539, 994865.2529907227 205795.85321044922, 994871.9169921875 205777.24322509766, 994784.3302001953 205771.85382080078, 994782.2470092773 205781.57598876953, 994532.2470092773 205764.90942382812, 994531.5521850586 205757.96478271484, 994448.9133911133 205753.79821777344, 994449.6077880859 205729.4926147461, 994426.69140625 205726.71478271484, 994426.69140625 205735.04821777344, 994349.6077880859 205723.93719482422, 994351.69140625 205697.54821777344, 994321.8302001953 205692.68719482422, 994310.7189941406 205760.7426147461, 994342.6633911133 205768.38159179688, 994347.524597168 205737.13159179688, 994426.69140625 205746.15942382812, 994423.2189941406 205782.2703857422, 994530.1633911133 205789.90942382812, 994528.0802001953 205796.15942382812, 994789.8858032227 205812.13159179688)), ((991733.4755859375 207126.01300048828, 991742.6228027344 207119.66162109375, 991751.5137939453 207132.8699951172, 991764.4664306641 207123.72619628906, 991770.3096313477 207135.4096069336, 991777.674987793 207130.8394165039, 991747.8294067383 207081.81060791016, 991741.7336425781 207086.64001464844, 991747.8294067383 207097.3057861328, 991733.8562011719 207104.67462158203, 991740.7164306641 207115.34399414062, 991731.8254394531 207120.9312133789, 991722.4258422852 207104.67462158203, 991649.7750244141 207146.33459472656, 991654.9396362305 207157.6342163086, 991716.8388061523 207122.7094116211, 991786.1857910156 207248.958984375, 991750.116027832 207276.39318847656, 991751.8944091797 207279.44140625, 991798.2524414062 207242.1019897461, 991733.4755859375 207126.01300048828)), ((991323.8428344727 207444.9985961914, 991333.2355957031 207440.66522216797, 991335.2030029297 207441.84521484375, 991416.4429931641 207406.14282226562, 991413.4921875 207398.1762084961, 991331.4653930664 207434.46881103516, 991331.1704101562 207436.0424194336, 991322.8569946289 207438.36920166016, 991315.4852294922 207437.67321777344, 991315.7941894531 207445.80059814453, 991323.8428344727 207444.9985961914)), ((991327.9661865234 207529.39318847656, 991339.8779907227 207523.4603881836, 991341.3265991211 207526.21258544922, 991344.6578369141 207525.77801513672, 991447.9342041016 207468.1287841797, 991442.4299926758 207458.71362304688, 991336.4017944336 207517.2319946289, 991336.8359985352 207519.25982666016, 991326.1052246094 207523.72259521484, 991327.9661865234 207529.39318847656)))",0.99646,0.0,0.0,0.0,0.000593,0.0,0.0,0.002946,0.0,0.0,0.0,0.0,0.167514,0.0,0.0,0.832203,0.0,0.0,0,7,0,0,Murray Hill-Kips Bay,1.2,0,33,0,0,,,,,,0,0,1,0,0,0,0
1060,1000,1,Manhattan,006300,10063001000,360610063001000,2617.37469533,293977.756114,"POLYGON ((986018.9598388672 207422.94158935547, 985879.9442138672 207170.8685913086, 984986.7932128906 207664.58502197266, 985125.733215332 207917.0714111328, 986018.9598388672 207422.94158935547))",0.618773,0.017721,0.001913,0.0,0.0,0.240883,0.069085,0.051625,0.0,0.046484,0.005018,0.0,0.0,0.631862,0.181217,0.135418,0.0,11.5,0,36,0,30,Greenwich Village,11.7,0,36,0,24,5.0,1.7008089544234353e-05,2.0,,,0,0,0,0,0,0,0
1061,1001,1,Manhattan,006300,10063001001,360610063001001,2573.00338492,270939.130398,"POLYGON ((985879.9442138672 207170.8685913086, 985750.6368408203 206937.70001220703, 985164.8120117188 207263.48779296875, 985078.2319946289 207311.6365966797, 984857.6068115234 207434.3302001953, 984986.7932128906 207664.58502197266, 985879.9442138672 207170.8685913086))",0.635948,0.070514,0.003641,0.0,0.0,0.186266,0.035915,0.067716,0.0,0.193692,0.010001,0.0,0.0,0.511647,0.098653,0.186006,0.0,9.5,0,36,0,24,Greenwich Village,11.7,0,36,0,24,5.0,1.845432954868932e-05,,,,0,0,0,0,0,0,0
1062,2000,1,Manhattan,006300,10063002000,360610063002000,2577.02918202,272751.137488,"POLYGON ((985750.6368408203 206937.70001220703, 985621.8475952148 206705.11499023438, 984728.2800292969 207199.4183959961, 984857.6068115234 207434.3302001953, 985078.2319946289 207311.6365966797, 985164.8120117188 207263.48779296875, 985750.6368408203 206937.70001220703))",0.634768,0.121715,0.006212,0.0,0.0,0.16,0.028969,0.048336,0.0,0.333254,0.017008,0.0,0.0,0.438078,0.079317,0.132343,0.0,9.2,0,35,0,24,Greenwich Village,11.7,0,36,0,24,3.0,1.0999037538869985e-05,,,,0,0,0,0,0,0,0
1063,2001,1,Manhattan,006300,10063002001,360610063002001,2543.19684528,256316.792866,"POLYGON ((985621.8475952148 206705.11499023438, 985499.9056396484 206487.17919921875, 985238.6572265625 206630.71661376953, 984606.2756347656 206978.1655883789, 984657.3286132812 207070.71801757812, 984728.2800292969 207199.4183959961, 985621.8475952148 206705.11499023438))",0.646171,0.114594,0.004925,0.0,0.0,0.161404,0.033388,0.039517,0.0,0.323868,0.013919,0.0,0.0,0.456164,0.094362,0.111684,0.0,8.4,0,32,0,21,Greenwich Village,11.7,0,36,0,24,3.0,1.1704266296622913e-05,,,,0,0,0,0,0,0,0
1064,3000,1,Manhattan,006300,10063003000,360610063003000,2227.24711079,141522.193196,"POLYGON ((985238.6572265625 206630.71661376953, 985499.9056396484 206487.17919921875, 985382.307434082 206272.59619140625, 984713.6520385742 206641.107421875, 984630.5427856445 206686.9110107422, 984645.7006225586 206713.0714111328, 984691.8784179688 206794.92498779297, 985126.5606079102 206554.0889892578, 985121.8392333984 206545.2725830078, 985144.7590332031 206532.5737915039, 985149.7869873047 206541.22039794922, 985182.43359375 206523.1328125, 985226.5614013672 206605.52459716797, 985238.6572265625 206630.71661376953))",0.68879,0.05652,0.004318,0.0,0.0,0.153818,0.032005,0.064548,0.0,0.181614,0.013875,0.0,0.0,0.494258,0.102841,0.20741,0.0,6.2,0,30,0,17,Greenwich Village,11.7,0,36,0,24,,,,,,0,0,0,0,0,0,0
1065,3001,1,Manhattan,006300,10063003001,360610063003001,1987.08154277,107972.604821,"POLYGON ((985238.6572265625 206630.71661376953, 985226.5614013672 206605.52459716797, 985182.43359375 206523.1328125, 985149.7869873047 206541.22039794922, 985144.7590332031 206532.5737915039, 985121.8392333984 206545.2725830078, 985126.5606079102 206554.0889892578, 984691.8784179688 206794.92498779297, 984645.7006225586 206713.0714111328, 984630.5427856445 206686.9110107422, 984522.0336303711 206746.71258544922, 984475.6036376953 206743.06860351562, 984606.2756347656 206978.1655883789, 985238.6572265625 206630.71661376953))",0.689532,0.061807,0.005246,0.0,0.0,0.154339,0.038475,0.0506,0.0,0.199077,0.016897,0.0,0.0,0.497117,0.123926,0.16298,0.0,6.1,0,27,0,19,Greenwich Village,11.7,0,36,0,24,3.0,2.778482565066837e-05,,,,0,0,0,0,0,0,0
1066,4000,1,Manhattan,006300,10063004000,360610063004000,2511.3530074,249964.533437,"POLYGON ((984630.5427856445 206686.9110107422, 984713.6520385742 206641.107421875, 985382.307434082 206272.59619140625, 985260.9310302734 206056.09399414062, 984807.9714355469 206308.5737915039, 984373.0806274414 206550.70599365234, 984475.6036376953 206743.06860351562, 984522.0336303711 206746.71258544922, 984630.5427856445 206686.9110107422))",0.641661,0.070929,0.004128,0.0,0.0,0.187292,0.04198,0.05401,0.0,0.197938,0.01152,0.0,0.0,0.522667,0.117152,0.150723,0.0,7.1,0,28,0,19,Greenwich Village,11.7,0,36,0,24,3.0,1.2001702636570669e-05,,,,0,0,0,0,0,0,0
1067,5000,1,Manhattan,006300,10063005000,360610063005000,1729.55567522,177698.172126,"POLYGON ((985260.9310302734 206056.09399414062, 985181.3958129883 205911.56341552734, 985088.5579833984 205748.54858398438, 984634.6088256836 206042.40618896484, 984727.3908081055 206186.85821533203, 984807.9714355469 206308.5737915039, 985260.9310302734 206056.09399414062))",0.494362,0.079743,0.010449,0.0,0.0,0.235929,0.068062,0.111456,0.0,0.157708,0.020665,0.0,0.0,0.466597,0.134606,0.220426,0.0,11.8,0,28,0,23,Greenwich Village,11.7,0,36,0,24,5.0,2.8137599504707696e-05,,,,0,0,0,0,0,0,0
1068,5001,1,Manhattan,006300,10063005001,360610063005001,1580.83614543,147123.151571,"POLYGON ((984807.9714355469 206308.5737915039, 984727.3908081055 206186.85821533203, 984634.6088256836 206042.40618896484, 984231.5485839844 206302.46478271484, 984317.1470336914 206452.6010131836, 984373.0806274414 206550.70599365234, 984807.9714355469 206308.5737915039))",0.498567,0.074094,0.004772,0.0,0.0,0.26745,0.084476,0.070641,0.0,0.147765,0.009517,0.0,0.0,0.533371,0.168469,0.140878,0.0,8.5,0,22,0,16,Greenwich Village,11.7,0,36,0,24,3.0,2.0391080315814426e-05,2.0,,,0,0,0,0,0,0,0
